State,Poll,Date,SampleSize,Segment,MoE,Biden (D),Trump (R),Spread
az,NBC News/MaristNBC/Marist,7/14 - 7/22,826,RV,4.1,50,45,Biden +5
az,CBS News/YouGovCBS News,7/7 - 7/10,1099,RV,3.8,46,46,Tie 
az,OH Predictive InsightsPredictive Insights,7/6 - 7/7,600,LV,4.0,49,44,Biden +5
co,EmersonEmerson,8/16 - 8/19,1000,RV,3.0,55,45,Biden +10
nv,RCP Average,8/14 - 1/8,--,,--,48.3,44.3,Biden +4.0
nv,FOX NewsFOX News,1/5 - 1/8,1505,RV,2.5,47,39,Biden +8
nv,EmersonEmerson,10/31 - 11/2,1089,RV,2.9,49,51,Trump +2
nv,GravisGravis,8/14 - 8/16,926,RV,3.2,49,43,Biden +6
pa,RCP Average,7/15 - 7/26,--,,--,49.4,43.4,Biden +6.0
pa,CNBC/Change Research (D)CNBC,7/24 - 7/26,382,LV,--,48,46,Biden +2
pa,GravisGravis,7/22 - 7/24,1006,LV,3.1,48,45,Biden +3
pa,Franklin & MarshallF&M,7/20 - 7/26,667,RV,5.5,50,41,Biden +9
pa,FOX NewsFOX News,7/18 - 7/20,793,RV,3.5,50,39,Biden +11
pa,Rasmussen ReportsRasmussen,7/15 - 7/16,750,LV,3.5,51,46,Biden +5
wa,KING-TV/SurveyUSAKing-TV/SUSA,7/22 - 7/27,534,LV,5.2,62,28,Biden +34
wa,KING-TV/SurveyUSAKing-TV/SUSA,5/16 - 5/19,530,LV,5.5,57,31,Biden +26
wa,KING-TV/SurveyUSAKing-TV/SUSA,3/4 - 3/6,992,RV,3.7,57,34,Biden +23
ms,Mason-DixonMason-Dixon,2/26 - 2/28,625,RV,4.0,41,56,Trump +15
ut,KUTV-2/Y2 Analytics*KUTV*,5/9 - 5/15,1078,LV,3.0,40,46,Trump +6
ut,Deseret News/Hinckley Inst.*Deseret News*,4/15 - 4/21,964,RV,3.2,32,51,Trump +19
ut,KUTV-2/Y2 Analytics*KUTV*,3/21 - 3/30,1331,LV,2.8,41,46,Trump +5
ut,Deseret News/Hinckley Inst.*Deseret News*,2/24 - 3/1,1000,RV,3.1,33,50,Trump +17
ut,Deseret News/Hinckley Inst.*Deseret News*,1/15 - 1/22,1017,RV,3.1,31,49,Trump +18
nj,RCP Average,4/16 - 5/4,--,,--,54.7,35.3,Biden +19.4
nj,Rutgers-EagletonRutgers-Eagleton,4/22 - 5/2,1364,RV,3.0,56,33,Biden +23
nj,QuinnipiacQuinnipiac,4/30 - 5/4,941,RV,3.2,54,35,Biden +19
nj,MonmouthMonmouth,4/16 - 4/19,635,RV,3.9,54,38,Biden +16
oh,RCP Average,5/30 - 7/24,--,,--,46.5,45.0,Biden +1.5
oh,CBS News/YouGovCBS News,7/21 - 7/24,1211,LV,--,45,46,Trump +1
oh,Rasmussen ReportsRasmussen,7/15 - 7/16,750,LV,3.5,50,46,Biden +4
oh,QuinnipiacQuinnipiac,6/18 - 6/22,1139,RV,2.9,46,45,Biden +1
oh,FOX NewsFOX News,5/30 - 6/2,803,RV,3.5,45,43,Biden +2
ks,PPP (D)PPP (D),3/10 - 3/11,1567,RV,2.5,40,52,Trump +12
in,Indy Politics/Change Res. (D)*Indy Politics,4/10 - 4/13,1021,LV,3.1,39,52,Trump +13
ky,PPP (D)PPP (D),5/14 - 5/15,1104,RV,3.0,39,55,Trump +16
ny,RCP Average,4/30 - 6/25,--,,--,56.0,32.0,Biden +24.0
ny,SienaSiena,6/23 - 6/25,806,RV,3.9,57,32,Biden +25
ny,QuinnipiacQuinnipiac,4/30 - 5/4,915,RV,3.2,55,32,Biden +23
mi,RCP Average,7/18 - 7/26,--,,--,49.2,41.2,Biden +8.0
mi,CNBC/Change Research (D)CNBC,7/24 - 7/26,382,LV,--,46,42,Biden +4
mi,CBS News/YouGovCBS News,7/21 - 7/24,1156,LV,--,48,42,Biden +6
mi,GravisGravis,7/22 - 7/22,754,RV,3.6,51,42,Biden +9
mi,CNNCNN,7/18 - 7/24,927,RV,3.8,52,40,Biden +12
mi,FOX NewsFOX News,7/18 - 7/20,756,RV,3.5,49,40,Biden +9
tx,RCP Average,6/19 - 7/20,--,,--,45.2,45.4,Trump +0.2
tx,QuinnipiacQuinnipiac,7/16 - 7/20,880,RV,3.3,45,44,Biden +1
tx,CBS News/YouGovCBS News,7/7 - 7/10,1212,RV,3.3,45,46,Trump +1
tx,OAN/GravisGravis,7/7 - 7/7,591,LV,4.3,44,46,Trump +2
tx,Dallas Morning NewsDMN,6/29 - 7/7,1677,LV,2.4,48,43,Biden +5
tx,University of TexasUniversity of Texas,6/19 - 6/29,1200,RV,2.8,44,48,Trump +4
mt,PPP (D)PPP (D),7/9 - 7/10,1224,RV,2.8,42,51,Trump +9
mn,RCP Average,6/19 - 7/25,--,,--,52.7,41.3,Biden +11.4
mn,Trafalgar Group (R)*Trafalgar (R)*,7/23 - 7/25,1129,LV,2.8,49,44,Biden +5
mn,FOX NewsFOX News,7/18 - 7/20,776,RV,3.5,51,38,Biden +13
mn,GravisGravis,6/19 - 6/19,600,RV,4.0,58,42,Biden +16
de,Gonzales ResearchGonzales Research,1/16 - 1/19,410,RV,5.0,56,40,Biden +16
